id,canonical_name,normalized_name,website,airport_codes,service_categories,employee_min,employee_max,naics_codes,sam_cage_code,qualification_status
477,"Paracom, Inc",paracom,,SEA,"",,,,,Review
478,"PIE Management, LLC",pie management,,SEA,"",,,,,Review
479,Piraas LLC,piraas,,SEA,"",,,,,Review
480,Richards Corporation,richards corporation,,SEA,"",,,,,Review
481,RMD Holdings LLC,rmd holdings,,SEA,"",,,,,Review
482,"RMES Communications, Inc",rmes communications,,SEA,"",,,541613,,Review
483,"Robinson Hill Hospitality Group, Inc",robinson hill hospitality group,,SEA,"",,,,,Review
484,Rosario & Rosario LLC,rosario rosario,,SEA,"",,,,,Review
485,Rylo Management LLC,rylo management,,SEA,"",,,,,Review
486,"SAAS Hot Sauce, LLC",saas hot sauce,,SEA,"",,,,,Review
487,SeaTac Bar Group LLC,seatac bar group,,SEA,"",,,,,Review
488,Shrewsberry & Associates LLC,shrewsberry associates,,SEA,"",,,,,Review
489,"Silver Slice Bakery, Inc",silver slice bakery,,SEA,"",,,,,Review
490,"Skyview Concessions, Inc",skyview concessions,,SEA,"",,,,,Review
491,Something Silver Inc,something silver,,SEA,"",,,,,Review
492,Stewart Manhattan Investments Inc,stewart manhattan investments,,SEA,"",,,,,Review
493,Sublime Gifts and Finds LLC,sublime gifts and finds,,SEA,"",,,,,Review
494,Sun's Inc,suns,,SEA,"",,,,,Review
495,"Susan Druckman, Inc",susan druckman,,SEA,"",,,,,Review
496,T & L Vending Inc,t l vending,,SEA,"",,,,,Review
497,Warren's News & Gift Inc,warrens news gift,,SEA,"",,,,,Review
498,WDB Inc,wdb,,SEA,"",,,,,Review
499,"Whayne and Sons Enterprises, Inc",whayne and sons enterprises,,SEA,"",,,,,Review
500,"Z Venture Capital Frontiers, Inc",z venture capital frontiers,,SEA,"",,,,,Review
509,PrimeFlight Aviation Svcs Inc,primeflight aviation svcs,,EWR,"",,,,,Review
511,"Launch Management Services, LLC",launch management services,,EWR,"",,,,,Review
513,"AGI Secure, LLC",agi secure,,EWR,"",,,,,Review
514,"American K-9 Detection Services, LLC",american k9 detection services,,EWR,"",,,,,Review
515,"Andy Frain Services, Inc",andy frain services,,EWR,"",,,,,Review
516,"GK9PG-Aviation Services, LLC",gk9pgaviation services,,EWR,"",,,,,Review
517,"Global Security Associates, LLC",global security associates,,EWR,"",,,561612,,Review
518,"Unifi Security, LLC",unifi security,,EWR,"",,,561612,,Review
519,"Airist JFK, Inc",airist jfk,,EWR,"",,,,,Review
555,"MarketPlace Logan, LLC",marketplace logan,,BOS,"",,,453998,,Review
556,"Legal Sea Foods, Inc",legal sea foods,,BOS,"",,,722515,,Review
557,Lenlyn Ltd. dba ICE Currency Services USA,lenlyn ltd dba ice currency services usa,,BOS,"",,,523130,,Review
558,Travel Content LLC,travel content,,BOS,"",,,541613,,Review
559,HLT Logan LLC (Hilton),hlt logan llc hilton,,BOS,"",,,721110,,Review
560,"LHO Harborside Hotel, LLC (Hyatt)",lho harborside hotel llc hyatt,,BOS,"",,,721110,,Review
663,"Keville Enterprises, Inc",keville enterprises,,BOS,"",,,541330,,Review
664,Lazo Foods LLC. DBA Lazo Empanadas,lazo foods llc dba lazo empanadas,,DEN,"",,,722515,,Review
665,LITTLE SISTER & CO DBA PLAYGROUND EATS,little sister co dba playground eats,,DEN,"",,,722515,,Review
666,LoCo Food Distribution,loco food distribution,,DEN,"",,,"722515, 722310",,Review
667,Malhotra Investments Inc,malhotra investments,,DEN,"",,,,,Review
668,Nancy Harkey Enterprises LLC,nancy harkey enterprises,,DEN,"",,,,,Review
669,National Essentials,national essentials,,DEN,"",,,453998,,Review
670,Olive & Finch Collective,olive finch collective,,DEN,"",,,,,Review
671,Optimal Concessions,optimal concessions,,DEN,"",,,,,Review
672,"Rubio Enterprises, LLC",rubio enterprises,,DEN,"",,,,,Review
673,Tyler Communications Inc,tyler communications,,DEN,"",,,541613,,Review
674,Victory Holdings,victory holdings,,DEN,"",,,,,Review
675,Whittier Cafe,whittier cafe,,DEN,"",,,722515,,Review
676,Groome Transportation,groome transportation,,ATL,auburn,,,485999,,Review
677,"Covenant Capital, LLC",covenant capital,,DFW,"",,,,,Review
678,Ascension Business Capital,ascension business capital,,DFW,"",,,,,Review
679,DFW WBC Lift Fund,dfw wbc lift fund,,DFW,"",,,,,Review
680,SBA-Small Business Association,sbasmall business association,,DFW,"",,,,,Review
681,Prosperity Bank,prosperity bank,,DFW,"",,,,,Review
682,Amegy Bank,amegy bank,,DFW,"",,,,,Review
683,Chase Bank-Fort Worth,chase bankfort worth,,DFW,"",,,,,Review
684,Chase Bank-Irving,chase bankirving,,DFW,"",,,,,Review
685,Regions Bank Simmons Bank,regions bank simmons bank,,DFW,"",,,,,Review
686,Frost Bank,frost bank,,DFW,"",,,,,Review
687,African American Entrepreneurs Association,african american entrepreneurs association,,DFW,"",,,,,Review
688,Your Company or Division,your company or division,,LAS,"",,,,,Review
689,Location of Accident,location of accident,,LAS,"",,,,,Review
690,Ron Lynn,ron lynn,,LAS,"",,,,,Review
691,Sami Real,sami real,,LAS,"",,,,,Review
692,Lisa Kremer,lisa kremer,,LAS,"",,,,,Review
693,James Gerren,james gerren,,LAS,"",,,,,Review
694,Werner K. Hellmer,werner k hellmer,,LAS,"",,,,,Review
695,Proposer Address,proposer address,,CLT,"",,,,,Review
696,Project Name,project name,,CLT,"",,,,,Review
697,Project Number,project number,,CLT,"",,,,,Review
698,Contract Nº,contract n,,CLT,"",,,,,Review
699,Solicitation Name,solicitation name,,CLT,"",,,,,Review
700,ACDBE Goal,acdbe goal,,CLT,"",,,,,Review
701,Annual Subcontractor / Supplier ACDBE Utilization,annual subcontractor supplier acdbe utilization,,CLT,"",,,,,Review
702,Precent ACDBE Utilization (B ÷ A),precent acdbe utilization b a,,CLT,"",,,,,Review
703,Contract Number,contract number,,CLT,"",,,,,Review
704,Solicitation Number,solicitation number,,CLT,"",,,,,Review
705,Bidder/Proposer Address,bidderproposer address,,CLT,"",,,,,Review
706,Bidder/Proposer Annual Gross,bidderproposer annual gross,,CLT,"",,,,,Review
707,Annual Gross Receipts (AGR),annual gross receipts agr,,CLT,"",,,,,Review
708,AND Phone Number,and phone number,,CLT,"",,,,,Review
709,"FCI Constructors, Inc",fci constructors,,PHX,"",,,,,Review
710,"Rummel Construction, Inc",rummel construction,,PHX,"",,,236220,,Review
711,"J Banicki Construction, Inc",j banicki construction,,PHX,"",,,236220,,Review
712,"McCarthy Building Companies, Inc",mccarthy building companies,,PHX,"",,,,,Review
713,or related assistance or services,or related assistance or services,,DTW,"",,,,,Review
714,Concourse A,concourse a,,DTW,"",,,,,Review
715,Be Relax,be relax,,DTW,"",,,,,Review
716,Brooks Brothers,brooks brothers,,DTW,"",,,,,Review
717,CarryOn - Bankruptcy,carryon bankruptcy,,DTW,"",,,,,Review
718,Cat Cora's Taproom,cat coras taproom,,DTW,"",,,,,Review
719,CNBC Smartshop,cnbc smartshop,,DTW,"",,,,,Review
720,Coffee Beanery,coffee beanery,,DTW,"",,,722515,,Review
721,Corridor Kitchen,corridor kitchen,,DTW,"",,,722515,,Review
722,Corsa Collections/Tumi,corsa collectionstumi,,DTW,"",,,,,Review
723,Crave Robata Grill & Bar,crave robata grill bar,,DTW,"",,,,,Review
724,Creative Kidstuff,creative kidstuff,,DTW,"",,,,,Review
725,Desigual & Utique,desigual utique,,DTW,"",,,,,Review
726,Detroit Street LunchBox,detroit street lunchbox,,DTW,"",,,,,Review
727,Dylan's Candy Bar,dylans candy bar,,DTW,"",,,,,Review
728,EA Sports,ea sports,,DTW,"",,,,,Review
729,Estee Lauder/MAC,estee laudermac,,DTW,"",,,,,Review
730,Gordon Biersch,gordon biersch,,DTW,"",,,,,Review
731,Green-A Natural Living Store,greena natural living store,,DTW,"",,,,,Review
732,Illy Coffee & Fountain Bar,illy coffee fountain bar,,DTW,"",,,722515,,Review
733,Johnston & Murphy,johnston murphy,,DTW,"",,,,,Review
734,Leo's Coney Island,leos coney island,,DTW,"",,,,,Review
735,Longhorn Steakhouse,longhorn steakhouse,,DTW,"",,,,,Review
736,Max & Erma's,max ermas,,DTW,"",,,,,Review
737,McDonald's Restaurant,mcdonalds restaurant,,DTW,"",,,722515,,Review
738,Mezza Mediterranean Grille,mezza mediterranean grille,,DTW,"",,,,,Review
739,Michigan Sports,michigan sports,,DTW,"",,,,,Review
740,Palazzolo's Artisan Gelato & Sorbett,palazzolos artisan gelato sorbett,,DTW,"",,,,,Review
741,PF Chang's China Bistro,pf changs china bistro,,DTW,"",,,722515,,Review
742,PGA Tour Shop,pga tour shop,,DTW,"",,,,,Review
743,Plum Market serving Zingerman's,plum market serving zingermans,,DTW,"",,,,,Review
744,Popeye's Louisiana Kitchen,popeyes louisiana kitchen,,DTW,"",,,722515,,Review
745,Porsche/Hugo Boss,porschehugo boss,,DTW,"",,,,,Review
746,Running Fit,running fit,,DTW,"",,,,,Review
747,Concourse A Cont,concourse a cont,,DTW,"",,,,,Review
748,So Chocolate,so chocolate,,DTW,"",,,722515,,Review
749,Sound Balance,sound balance,,DTW,"",,,,,Review
750,Sunglass Icon,sunglass icon,,DTW,"",,,,,Review
751,The Body Shop,the body shop,,DTW,"",,,,,Review
752,The New York Times,the new york times,,DTW,"",,,,,Review
753,The Shed,the shed,,DTW,"",,,,,Review
754,Time Newsstand,time newsstand,,DTW,"",,,453998,,Review
755,Time Newsstand/Starbucks,time newsstandstarbucks,,DTW,"",,,453998,,Review
756,Travelex Currency Services,travelex currency services,,DTW,"",,,523130,,Review
757,Vino Volo,vino volo,,DTW,"",,,,,Review
758,Wall Street Journal,wall street journal,,DTW,"",,,,,Review
759,Wall Street Journal/Starbucks,wall street journalstarbucks,,DTW,"",,,,,Review
760,World Duty Free,world duty free,,DTW,"",,,453998,,Review
761,Concourse B,concourse b,,DTW,"",,,,,Review
762,Chili's/Papa Joe's Gourmet Market,chilispapa joes gourmet market,,DTW,"",,,,,Review
763,Ember's - A Fire & Ice Lounge,embers a fire ice lounge,,DTW,"",,,722515,,Review
764,Papa Joe's Dining Room,papa joes dining room,,DTW,"",,,722515,,Review
765,Z Market & Mills Pharmacy,z market mills pharmacy,,DTW,"",,,,,Review
766,Concourse C,concourse c,,DTW,"",,,,,Review
767,CNBC & Tim Hortons,cnbc tim hortons,,DTW,"",,,,,Review
768,Harvest & Grounds,harvest grounds,,DTW,"",,,722515,,Review
769,Robert Mondavi Experience,robert mondavi experience,,DTW,"",,,,,Review
770,Domestic Baggage Claim,domestic baggage claim,,DTW,"",,,,,Review
771,Coffee Bean & Tea Leaf Company,coffee bean tea leaf company,,DTW,"",,,722515,,Review
772,FIS Level,fis level,,DTW,"",,,,,Review
773,New York Times & Tim Hortons,new york times tim hortons,,DTW,"",,,,,Review
